"year" "GDPpercap" "Tourists" "Temp" "global_means_urban" "global_means_past" "global_means_crop" "pop_global" "migration" "shipcalls" "import"
1847 1812.83333333333 NA 4.63451260924342 0.00109542253521127 0.0519207746478873 0.0472816901408451 NA 117 4 0.000225164189882349
1847 1812.83333333333 NA 4.63451260924342 0.00109542253521127 0.0519207746478873 0.0472816901408451 NA 117 75 0.000225164189882349
1848 1955 NA 4.68668880537155 0.00110669014084507 0.0522345070422535 0.0474827464788732 NA 135 110 0.000201193075436273
1849 1967.16666666667 NA 4.67370079308751 0.00112042253521127 0.0525510563380282 0.0476830985915493 NA 133 90 0.000226196198806304
1850 1056.82843137255 NA 4.7141388807446 0.0011330985915493 0.0528669014084507 0.0478830985915493 1.24145884333197 120 89 0.000325949736975422
1851 1982.55 NA 4.72518283724787 0.00114823943661972 0.0531588028169014 0.0481070422535211 NA 135 59 0.000287004290084883
1852 2239.88888888889 NA 4.77098441161218 0.00116478873239437 0.0534517605633803 0.0483281690140845 NA 160 62 0.00029891228994907
1853 2364.5 NA 4.97470572628083 0.00117746478873239 0.0537450704225352 0.0485478873239437 NA 138 91 0.000346487381614597
1854 2190.33333333333 NA 4.91842627935114 0.00119154929577465 0.0540341549295775 0.0487707746478873 NA 159 15 0.00044973232653754
1854 2190.33333333333 NA 4.91842627935114 0.00119154929577465 0.0540341549295775 0.0487707746478873 NA 159 26 0.00044973232653754
1855 2104.05 NA 5.11812301948669 0.00120704225352113 0.0543288732394366 0.048994014084507 NA 139 8 0.000491026881061212
1855 2104.05 NA 5.11812301948669 0.00120704225352113 0.0543288732394366 0.048994014084507 NA 139 2 0.000491026881061212
1856 2435.55555555555 NA 5.11127951964738 0.00121866197183099 0.0546225352112676 0.0492183098591549 NA 157 31 0.000564760654920435
1857 2277.27777777778 NA 5.01303847916427 0.00123239436619718 0.0549130281690141 0.0494369718309859 NA 158 34 0.000505915527340016
1858 2108.88888888889 NA 4.7088917180896 0.00124683098591549 0.0552080985915493 0.0496580985915493 NA 156 33 0.000461259199082116
1859 2437.27777777778 NA 4.91283354572954 0.00126091549295775 0.0554978873239437 0.0498806338028169 NA 142 18 0.000522053249246415
1860 2061.22727272727 NA 5.06747307106855 0.00127640845070423 0.0557929577464789 0.0501024647887324 1.26706263511063 168 26 0.000706561099796153
1861 2278.29166666667 NA 4.67985277660193 0.00129260563380282 0.0560901408450704 0.0503253521126761 NA 164 12 0.00065408581969775
1862 2281.04545454545 NA 4.8010159082711 0.0013080985915493 0.0563890845070423 0.050544014084507 NA 216 15 0.000631276839991745
1863 2296.04545454545 NA 4.59935239180925 0.00132429577464789 0.0566887323943662 0.0507654929577465 NA 207 13 0.000663748584340302
1864 2387.90909090909 NA 4.75458196587863 0.00134084507042254 0.0569848591549296 0.0509890845070423 NA 235 3 0.00072517736165165
1865 2267.07692307693 NA 4.63791689127686 0.00135774647887324 0.0572855633802817 0.0512080985915493 NA 240 6 0.000933178368381017
1866 2317.42307692307 NA 4.69332715906205 0.00137288732394366 0.0575845070422535 0.051430985915493 NA 210 4 0.000850713974718292
1867 2425.23076923077 NA 4.838887924701 0.00138838028169014 0.057881338028169 0.0516531690140845 NA 185 7 0.000843616730318435
1868 2477.84615384616 NA 4.65584546551111 0.00140387323943662 0.0581823943661972 0.0518718309859155 NA 195 13 0.000866994967251294
1869 2474.42307692307 NA 4.76230354458096 0.00142147887323944 0.058480985915493 0.0520957746478873 NA 187 36 0.000881762588724581
1870 1257.26041666667 NA 4.91228418648245 0.0014362676056338 0.0587802816901408 0.0523169014084507 1.30838360995475 215 54 0.00105391116157141
1871 1697.64285714286 NA 4.94556698240342 0.00145739436619718 0.0591598591549296 0.0526327464788732 NA 199 64 0.0011549351222232
1872 1792.10714285714 NA 4.79342498108747 0.00147887323943662 0.0595330985915493 0.0529489436619718 NA 213 9 0.00128804695052836
1873 1861.07142857143 NA 4.76195123270156 0.00149788732394366 0.0599116197183099 0.0532679577464789 NA 221 56 0.00133966377745443
1874 1841.71428571428 NA 4.89361181892457 0.00151901408450704 0.0602894366197183 0.053581338028169 NA 206 57 0.00133336156077215
1875 1839.15476190476 NA 4.69764770977201 0.00153978873239437 0.0606630281690141 0.0538985915492958 NA 256 70 0.00131937075402245
1876 1818.55952380952 NA 4.83753273114564 0.00155950704225352 0.0610433098591549 0.0542169014084507 NA 218 61 0.00129770012892114
1877 1863.38095238095 NA 4.70826329700651 0.00157992957746479 0.0614197183098592 0.0545330985915493 NA 250 33 0.00131167194956067
1878 1906.96428571429 NA 4.5963645115495 0.00160140845070423 0.0617978873239437 0.0548514084507042 NA 256 59 0.00132324586015419
1879 1854.89285714286 NA 4.86101484894755 0.00162183098591549 0.0621760563380282 0.0551654929577465 NA 246 78 0.00133950228721623
1880 1937.70238095238 NA 5.03066208995881 0.00164330985915493 0.0625510563380282 0.0554799295774648 1.39497888342768 240 55 0.00153988784084339
1881 1967.41666666667 NA 4.7509485691786 0.0016612676056338 0.0630228873239437 0.0558102112676056 NA 262 48 0.00155613035862219
1882 1964.67857142857 NA 4.83924608156087 0.00167676056338028 0.0634957746478873 0.0561429577464789 NA 261 56 0.00163124980439726
1883 2015.51190476191 NA 4.68082129806282 0.00169260563380282 0.0639654929577465 0.0564721830985915 NA 245 12 0.00165011463661349
1884 2014.56746031746 NA 4.77088387161496 0.0017080985915493 0.0644366197183099 0.0568021126760563 NA 251 45 0.0016019984097859
1885 2020.69841269841 NA 4.8051408197731 0.00172218309859155 0.064912676056338 0.0571302816901408 NA 271 31 0.00152682962258633
1886 2030.05952380952 NA 4.78609624728563 0.00174049295774648 0.0653855633802817 0.0574616197183099 NA 225 54 0.00152099618304777
1887 2058.82936507937 NA 4.71888398788872 0.00175387323943662 0.0658549295774648 0.057787676056338 NA 273 50 0.00157807773805963
