Taxon,Region,FirstRecord
Acizzia albizziae,Asia and the Pacific,1922
Acizzia conspicua,Asia and the Pacific,1963
Acizzia exquisita,Asia and the Pacific,1921
Acizzia hakeae,Asia and the Pacific,1967
Acizzia hollisi,Europe and Central Asia,1987
Acizzia jamatonica,Americas,2006
Acizzia jamatonica,Europe and Central Asia,2001
Acizzia jucunda,Asia and the Pacific,1962
Acizzia solanicola,Asia and the Pacific,2012
Acizzia uncatoides,Americas,1954
Acizzia uncatoides,Asia and the Pacific,1922
Acizzia uncatoides,Europe and Central Asia,1974
Aclees cribratus,Europe and Central Asia,1997
Aclerda takahashii,Americas,2016
Aclerda tokionis,Americas,1900
Acleris comariana,Asia and the Pacific,1970
Acleris forsskaleana,Americas,1932
Acleris holmiana,Americas,1877
Acleris undulana,Europe and Central Asia,1998
Acleris variegana,Americas,1920
Acmella brachyglossa,Asia and the Pacific,1992
Acmella ciliata,Americas,1980
Acmella ciliata,Asia and the Pacific,2006
Acmella glaberrima,Americas,1985
Acmella oleracea,Asia and the Pacific,1943
Acmella oleracea,Europe and Central Asia,1971
Acmella paniculata,Asia and the Pacific,1907
Acmella sodiroi,Americas,1846
Acmella uliginosa,Asia and the Pacific,1987
Acokanthera oblongifolia,Asia and the Pacific,1888
Aconitum bicolor,Americas,1883
Aconitum lasiostomum,Europe and Central Asia,1993
Aconitum lycoctonum,Americas,1930
Aconitum napellus,Americas,1896
Aconitum napellus,Europe and Central Asia,1807
Aconitum napellus x variegatum,Europe and Central Asia,1905
Aconitum nasutum,Europe and Central Asia,1838
Aconitum variegatum,Americas,1838
Aconitum variegatum,Europe and Central Asia,1996
Aconitum x cammarum,Europe and Central Asia,1819
Aconophora compressa,Asia and the Pacific,1995
Acontia candefacta,Europe and Central Asia,1967
Acorus calamus,Americas,1898
Acorus calamus,Europe and Central Asia,1500
Acorus gramineus,Americas,2006
Acorus gramineus,Europe and Central Asia,1977
Acrachne racemosa,Africa,1967
Acrachne racemosa,Asia and the Pacific,1985
Acridotheres burmannicus,Europe and Central Asia,2002
Acridotheres cinereus,Asia and the Pacific,1970
Acridotheres cristatellus,Americas,1889
Acridotheres cristatellus,Asia and the Pacific,1850
Acridotheres cristatellus,Europe and Central Asia,1982
Acridotheres fuscus,Americas,1981
Acridotheres fuscus,Asia and the Pacific,1850
Acridotheres ginginianus,Asia and the Pacific,1972
Acridotheres ginginianus,Europe and Central Asia,1937
Acridotheres grandis,Africa,1991
Acridotheres grandis,Americas,1998
Acridotheres grandis,Asia and the Pacific,1982
Acridotheres javanicus,Americas,1989
Acridotheres javanicus,Asia and the Pacific,1915
Acridotheres melanopterus,Asia and the Pacific,1920
Acridotheres tristis,Africa,1750
Acridotheres tristis,Americas,1865
Acridotheres tristis,Asia and the Pacific,1850
Acridotheres tristis,Europe and Central Asia,1956
Acritus nigricornis,Asia and the Pacific,1976
Acrocalanus gibber,Asia and the Pacific,1966
Acroceras macrum,Asia and the Pacific,1999
Acrocercops alysidota,Asia and the Pacific,1880
Acrocercops laciniella,Asia and the Pacific,1999
Acrochaetium catenulatum,Europe and Central Asia,1967
Acrochaetium kylinii,Europe and Central Asia,2006
Acrochaetium leptonema,Europe and Central Asia,2008
Acrochaetium mahumetanum,Europe and Central Asia,1938
Acrochaetium mediterraneum,Europe and Central Asia,2003
Acrochaetium microscopicum,Europe and Central Asia,2006
Acrochaetium moniliforme,Europe and Central Asia,2009
Acrochaetium rosulatum,Europe and Central Asia,1997
Acrochaetium savianum,Europe and Central Asia,1961
Acrochaetium spathoglossi,Africa,1944
Acrochaetium subpinnatum,Europe and Central Asia,2003
Acrochaetium subseriatum,Africa,1944
Acrochordus javanicus,Americas,1970
Acrocinus longimanus,Europe and Central Asia,1977
Acrolepia assectella,Americas,1939
Acrolepiopsis jaspidata,Americas,2004
Acromegalomma claparedei,Europe and Central Asia,1987
Acrossidius tasmaniae,Asia and the Pacific,1916
Acrostica apicalis,Americas,1895
Acrosticta apicalis,Americas,1925
Acrothrix gracilis,Europe and Central Asia,1993
Acrotona dilutipennis,Europe and Central Asia,1995
Acrotona parens,Europe and Central Asia,1967
Acrotona pseudotenera,Europe and Central Asia,1955
Acrotriche rigida,Asia and the Pacific,1997
Acrotrichis cognata,Europe and Central Asia,1950
Acrotrichis discoloroides,Americas,1989
Acrotrichis henrici,Europe and Central Asia,1965
Acrotrichis inconspicua,Asia and the Pacific,1870
Acrotrichis insularis,Asia and the Pacific,1912
Acrotrichis insularis,Europe and Central Asia,1965
Acrotrichis josephi,Asia and the Pacific,1947
Acrotrichis josephi,Europe and Central Asia,1987
Acrotrichis montandonii,Asia and the Pacific,1976
Acrotrichis sanctaehelenae,Europe and Central Asia,1964
