Taxon,Region,FirstRecord
Bemisia tabaci,Asia and the Pacific,1949
Berberis darwinii,Americas,1966
Berberis darwinii,Asia and the Pacific,1945
Berberis glaucocarpa,Asia and the Pacific,1916
Berberis julianae,Americas,2005
Berberis thunbergii,Americas,1872
Berberis thunbergii,Europe and Central Asia,1953
Berberis vulgaris,Americas,1883
Bergenia crassifolia,Europe and Central Asia,1800
Beroe ovata,Europe and Central Asia,1996
Berteroa incana,Americas,1925
Berteroa incana,Europe and Central Asia,1820
Beta vulgaris,Europe and Central Asia,1988
Betula pendula,Americas,1891
Betula pendula,Asia and the Pacific,1879
Biancaea decapetala,Africa,1858
Biancaea decapetala,Asia and the Pacific,1964
Biddulphia sinensis,Europe and Central Asia,1910
Bidens alba,Asia and the Pacific,1933
Bidens aurea,Europe and Central Asia,1958
Bidens bipinnata,Africa,1969
Bidens bipinnata,Europe and Central Asia,1701
Bidens connata,Europe and Central Asia,1995
Bidens frondosa,Asia and the Pacific,1900
Bidens frondosa,Europe and Central Asia,1760
Bidens pilosa,Africa,1906
Bidens pilosa,Americas,1881
Bidens pilosa,Asia and the Pacific,1857
Bidens pilosa,Europe and Central Asia,1992
Bidens subalternans,Americas,1978
Bidens subalternans,Europe and Central Asia,2005
Bischofia javanica,Asia and the Pacific,1905
Biwia zezera,Asia and the Pacific,1960
Blackfordia virginica,Americas,1963
Blackfordia virginica,Europe and Central Asia,1937
Blastopsylla occidentalis,Americas,2001
Blatta orientalis,Americas,1886
Blattella asahinai,Americas,1986
Blattella germanica,Asia and the Pacific,1935
Boa constrictor,Americas,1968
Boccardia polybranchia,Europe and Central Asia,1893
Boccardia proboscidea,Africa,2004
Boerhavia coccinea,Europe and Central Asia,1963
Bomarea multiflora,Asia and the Pacific,1964
Bombus ruderatus,Americas,1983
Bombus terrestris,Americas,1998
Bombus terrestris,Asia and the Pacific,1992
Bonamia ostreae,Europe and Central Asia,1987
Bonnemaisonia hamifera,Europe and Central Asia,1874
Borago officinalis,Americas,1849
Bos javanicus,Asia and the Pacific,-3500
Bos taurus,Americas,1509
Bos taurus,Asia and the Pacific,1910
Boselaphus tragocamelus,Americas,1985
Bothriochloa pertusa,Americas,1968
Botrylloides violaceus,Americas,1993
Botrylloides violaceus,Europe and Central Asia,2000
Botryllus schlosseri,Americas,1942
Botryllus schlosseri,Asia and the Pacific,1977
Bougainvillia rugosa,Europe and Central Asia,1964
Brachiaria brizantha,Americas,1967
Brachiaria dictyoneura,Americas,1970
Brachiaria eminii,Americas,1950
Brachiaria mutica,Americas,1915
Brachiaria mutica,Asia and the Pacific,1939
Brachidontes pharaonis,Africa,1876
Brachidontes pharaonis,Asia and the Pacific,1978
Brachidontes pharaonis,Europe and Central Asia,1960
Brachypodium distachyon,Americas,1929
Brachypodium sylvaticum,Americas,1939
Branchiomma bairdi,Europe and Central Asia,2015
Branchiomma luctuosum,Europe and Central Asia,1978
Branchiura sowerbyi,Europe and Central Asia,1918
Branta canadensis,Asia and the Pacific,1985
Branta canadensis,Europe and Central Asia,1650
Branta hutchinsii,Europe and Central Asia,1945
Brasiliopuntia schickendantzii,Asia and the Pacific,1993
Brassica juncea,Americas,1893
Brassica napus,Americas,1846
Brassica nigra,Americas,1846
Brassica oleracea,Americas,1931
Brassica rapa,Americas,1846
Brassica tournefortii,Americas,1927
Briza maxima,Americas,1881
Briza maxima,Asia and the Pacific,1879
Briza minor,Americas,1800
Bromus briziformis,Americas,1894
Bromus catharticus,Americas,1892
Bromus catharticus,Asia and the Pacific,1882
Bromus catharticus,Europe and Central Asia,1977
Bromus catharticus var. catharticus,Asia and the Pacific,1940
Bromus diandrus,Americas,1881
Bromus diandrus,Europe and Central Asia,1835
Bromus hordeaceus,Americas,1800
Bromus inermis,Americas,1875
Bromus inermis,Europe and Central Asia,1800
Bromus japonicus,Americas,1891
Bromus madritensis,Americas,1875
Bromus racemosus,Americas,1882
Bromus rigidus,Americas,1923
Bromus rubens,Americas,1894
Bromus secalinus,Americas,1876
Bromus squarrosus,Americas,1986
Bromus sterilis,Americas,1896
Bromus tectorum,Americas,1848
Bromus tectorum,Asia and the Pacific,1869
Bromus tectorum,Europe and Central Asia,1865
Brontispa longissima,Asia and the Pacific,1975
Broussonetia papyrifera,Africa,1969
Broussonetia papyrifera,Europe and Central Asia,1760
Browallia americana,Africa,1961
Bruchus pisorum,Asia and the Pacific,1951
Bruchus pisorum,Europe and Central Asia,1850
Bruchus rufimanus,Asia and the Pacific,1933
Brugmansia suaveolens,Asia and the Pacific,1956
Bryonia alba,Americas,1964
Bryonia cretica,Asia and the Pacific,1991
Bubalus bubalis,Americas,1895
Bubalus bubalis,Asia and the Pacific,1825
Bubo bubo,Europe and Central Asia,1832
Bubulcus ibis,Americas,1957
Buddleja davidii,Americas,1939
Buddleja davidii,Asia and the Pacific,1945
Buddleja davidii,Europe and Central Asia,1895
Buddleja dysophylla,Asia and the Pacific,1963
Buddleja madagascariensis,Asia and the Pacific,1945
Buddleja salviifolia,Asia and the Pacific,1953
Bufo gargarizans,Asia and the Pacific,1937
Bufo japonicus,Asia and the Pacific,1960
Bugula neritina,Americas,1937
Bugula neritina,Asia and the Pacific,1986
Bugula neritina,Europe and Central Asia,1900
Bunias orientalis,Europe and Central Asia,1790
Bursaphelenchus mucronatus,Asia and the Pacific,1905
Bursatella leachii,Africa,1982
Bursatella leachii,Europe and Central Asia,1959
Butis koilomatodon,Americas,1989
Butomus umbellatus,Americas,1897
Bythotrephes cederstroemi,Americas,1965
Bythotrephes longimanus,Americas,1982
Cabomba caroliniana,Americas,1991
Cabomba caroliniana,Asia and the Pacific,1929
Cabomba caroliniana,Europe and Central Asia,1980
Cactoblastis cactorum,Americas,1957
Cacyreus marshalli,Europe and Central Asia,1997
Caiman crocodilus,Americas,1959
